Eu1,Eu2,Eu3,AngD1,AngD2,AngD3,Energy,Error,P,D,Time
2.9074,-1.278,-1.9807,0,2,0,1.0763,0.024168,0.505,0.505,0.011
2.7902,0.46332,3.0245,2,0,2,1.9591,0.078765,0.505,0.505,0.011
-0.81468,0.11712,2.2098,2,2,-2,1.4781,0.096267,0.505,0.505,0.011
3.1416,0.35136,-0.35136,2,-2,2,1.8395,0.13207,0.505,0.505,0.011
-1.0489,-0.3462,-1.7465,0,0,0,0.053283,0.099911,0.505,0.505,0.011
0.3462,1.0489,-0.81468,0,0,-2,0.32815,0.17109,0.505,0.505,0.011
-2.5612,4.44E-16,2.7902,2,-2,0,1.3112,0.011487,0.505,0.505,0.011
-1.9807,0.81468,-2.444,2,2,0,1.0462,0.10241,0.505,0.505,0.011
1.8584,1.3951,1.8584,-2,0,0,0.89187,0.048477,0.505,0.505,0.011
-0.46848,-1.166,-1.8636,0,0,2,0.58522,0.029508,0.505,0.505,0.011
-2.5612,-1.166,2.7902,2,0,2,1.1053,0.1054,0.505,0.505,0.011
-0.35136,-1.5122,-1.0489,2,2,-2,1.2413,0.20995,0.505,0.505,0.011
3.1416,-1.278,0.3462,-2,2,2,1.5438,0.057978,0.505,0.505,0.011
1.3951,-0.9318,0.46332,0,2,0,1.0329,0.070593,0.505,0.505,0.011
1.8584,-0.23424,2.7902,0,0,-2,0.98725,0.14855,0.505,0.505,0.011
0.69756,-0.9318,-2.7954,2,0,2,0.56666,0.037739,0.505,0.505,0.011
-0.46848,-0.9318,-1.8636,2,2,0,0.8371,0.11011,0.505,0.505,0.011
-1.0489,1.0489,-0.81468,-2,-2,-2,0.9152,0.11317,0.505,0.505,0.011
-0.81468,-1.5122,-1.9807,2,2,2,1.2805,0.053327,0.505,0.505,0.011
-1.41E-16,-1.166,-0.9318,2,0,2,0.6134,0.10708,0.505,0.505,0.011
2.7902,-0.46848,-2.7954,-2,0,-2,1.2255,0.66796,0.49982,0.49982,0.011094
-1.8636,0.46332,-1.166,-2,0,0,0.48489,0.067038,0.505,0.505,0.011
-0.11712,-1.5122,-1.2832,2,-2,0,0.76081,0.38364,0.505,0.505,0.011
