Eu1,Eu2,Eu3,AngD1,AngD2,AngD3,Energy,Error,P,D,Time
0.87028,-0.68249,2.3554,1.0228,-1.3115,-1.1511,0.62088,0.15078,0.35203,0.65797,0.0082188
2.6533,0.83833,-1.6109,3.6393,-1.3584,0.3095,1.9959,0.097913,0.29667,0.93187,0.013345
-0.95951,0.48885,-2.1835,1.9628,1.1194,2.323,1.2057,0.070812,0.48493,0.29514,0.0093025
0.47925,-0.23275,2.9084,-1.4389,2.0848,1.1551,0.94882,0.017543,0.37028,0.67342,0.01345
-1.9422,0.53782,0.32162,-1.1487,2.6277,1.7722,1.8602,0.11022,0.4249,0.80112,0.016384
0.43915,-1.4522,-0.18668,0.051658,-0.97736,-0.73892,0.46693,0.087017,0.29814,0.49122,0.012063
0.83357,1.0675,-0.055796,2.1772,3.1435,0.1307,1.6817,0.012906,0.42841,0.58159,0.0096075
2.6614,1.5553,1.3215,0.24601,-0.8811,2.9675,1.1144,0.042387,0.505,0.505,0.011
-0.0088658,-1.3311,1.769,-0.031784,-1.7749,1.6353,0.83618,0.013363,0.11889,0.11246,0.0198
-2.665,-1.5539,-2.5498,1.0391,0.0076105,-0.60796,0.74414,0.072305,0.11752,0.2778,0.0096242
-0.95334,0.88781,-0.81429,1.9228,-1.0568,-0.54151,1.0433,0.027565,0.39512,0.33486,0.012936
2.1573,-1.0008,0.94432,-0.31793,0.20748,3.302,0.6622,0.16294,0.033243,0.39399,0.01905
0.49611,0.55717,-0.23479,0.38625,2.2435,-1.8051,0.75422,0.0093925,0.45456,0.40792,0.012001
-1.2381,-0.056216,1.2556,2.1628,-0.93305,-1.1982,1.6509,0.40518,0.35146,0.93808,0.013011
-0.54178,1.4818,2.3304,3.3587,-1.3675,2.5211,1.597,0.041656,0.34922,0.76196,0.012007
2.2615,-0.12317,0.52625,0.21715,0.62656,-1.8509,0.36833,0.023727,0.061256,0.061256,0.0085197
-2.2481,0.69899,1.53,3.2232,-1.5746,-1.2375,1.6462,0.096937,0.505,0.505,0.011
-2.399,-0.90249,1.286,1.5282,-1.1439,2.3884,0.65895,0.014715,0.31741,0.27594,0.019842
-2.2292,0.46027,2.8642,3.9241,-0.41343,-1.4213,1.3848,0.94998,0.037695,0.2706,0.015262
0.17472,1.1427,-2.2022,-0.55598,-1.9696,-1.897,0.73845,0.12305,0.15607,0.15607,0.0046557
1.2914,-0.29261,0.057179,2.2813,1.4984,0.040316,0.70977,0.22387,0.26747,0.53421,0.0077251
0.23185,0.17534,-1.8252,-0.047067,-0.43367,0.75764,0.1106,0.10074,0.17828,0.25667,0.014038
0.11481,-0.34584,1.808,-0.11972,0.31606,2.0431,0.5578,0.45994,0.079042,0.2559,0.015875
-0.8877,-0.42575,2.3385,1.8357,1.298,0.35334,0.84936,0.17458,0.14062,0.24594,0.004375
-2.4428,1.4207,-0.77639,-1.2577,-0.35206,2.4298,1.4452,0.086737,0.17071,0.17071,0.017078
-2.0422,-0.61062,0.45825,3.3853,0.30814,-0.94456,1.63,0.097344,0.49201,0.80654,0.013805
-0.63147,1.2257,0.14492,1.8059,-0.63323,0.97168,0.70324,0.09466,0.11915,0.11915,0.018015
2.4721,-0.64071,2.2978,-0.44636,0.97995,1.0422,0.48412,0.11303,0.15385,0.38029,0.010786
-1.6699,-1.0467,-2.0045,3.3366,-1.4161,2.6602,1.3541,0.093528,0.49696,0.72754,0.016783
1.1175,-0.067586,2.7682,1.846,1.5253,-0.66038,0.44635,0.31942,0.14362,0.22676,0.0044295
-0.91411,-0.28258,-1.0022,2.5315,1.7294,1.1638,1.203,0.077715,0.21667,0.21667,0.0057577
-2.409,0.99864,3.1178,2.0273,-0.97207,2.7774,1.0237,0.20975,0.19776,0.2513,0.0066786
-0.91128,-0.41296,1.5884,-0.29709,-1.0245,2.9791,0.65323,0.25939,0.34178,0.65526,0.008268
-0.072616,0.37321,0.95053,-0.61322,-1.8154,0.59718,1.2355,0.023393,0.35947,0.62788,0.0088656
-1.7836,0.26433,-2.0114,0.44073,2.3659,0.64068,1.0652,0.089568,0.12678,0.12678,0.0041232
2.27,-0.84977,-1.9387,1.4697,2.6165,1.1861,0.72791,0.14619,0.71131,0.97106,0.0076326
-0.29032,0.37825,0.10021,2.7079,-1.6968,1.8586,1.9187,0.11028,0.084957,0.28644,0.015481
-2.7688,0.24094,0.60293,0.54188,2.1156,1.5498,0.74927,0.48431,0.20956,0.79164,0.016385
1.5618,-1.1481,2.6455,3.1305,0.22452,-1.0136,0.87107,0.11804,0.43991,0.5026,0.010001
2.4305,-0.32567,2.175,-0.9339,0.88255,1.8143,0.30062,0.12667,0.041968,0.40958,0.019563
0.72958,0.32868,-0.63435,0.27542,-1.1166,0.75292,0.18126,0.014862,0.44044,0.37212,0.0042806
2.7444,-0.30545,0.19426,1.018,-1.8058,2.7366,1.3667,0.014144,0.032839,0.088948,0.019585
-3.1013,-0.92957,1.9715,2.1291,2.3292,1.3734,0.90902,0.13871,0.1381,0.34784,0.016233
1.4899,1.316,-0.60251,2.4489,-0.71312,1.1755,1.9034,0.029975,0.505,0.505,0.011
-0.65243,0.37572,1.8375,-0.63173,1.8171,2.2364,1.9003,0.44031,0.15697,0.48362,0.01061
1.697,0.77796,0.62638,-0.47731,0.70532,2.8249,1.0312,0.10844,0.042981,0.1427,0.010145
-0.35612,0.040817,-0.49287,3.2586,1.3715,1.5309,1.6478,0.080787,0.30774,0.38131,0.0092363
1.6733,-0.084309,2.6897,-1.191,1.6404,3.141,1.7653,0.03832,0.14864,0.23469,0.017479
-0.042882,-0.48601,-0.98447,-0.8382,-0.61747,-0.72841,0.23087,0.1011,0.34144,0.34144,0.0080262
-1.6932,-0.2147,-1.1373,1.6997,-0.25321,-1.633,0.83735,0.032692,0.505,0.505,0.011
1.1411,-0.28226,0.93385,-0.25696,1.1973,-1.7656,0.60518,0.11437,0.505,0.505,0.011
1.6694,-0.11192,0.69499,-0.62567,-1.0636,-0.46276,0.57385,0.12429,0.35674,0.35674,0.0083044
-1.6143,-0.32234,-2.205,2.2185,1.5939,0.076337,0.88325,0.012917,0.32491,0.35354,0.0043696
-0.18931,-0.25921,1.5799,-1.9017,0.3207,2.9498,1.0307,0.01697,0.31777,0.32832,0.013338
-0.27943,-1.5027,-0.00089829,2.255,2.6658,3.7321,1.849,0.099358,0.58907,0.47702,0.0034161
-2.3963,0.20826,-1.4444,-0.081599,2.0996,0.83836,1.2022,0.097039,0.06371,0.16086,0.011697
-0.59074,0.54533,-1.3755,-0.075524,0.30311,3.7325,0.95831,0.010412,0.40377,0.36231,0.0033775
2.4343,-0.47359,0.054027,-0.75771,2.9215,2.2007,1.7863,0.019042,0.18944,0.66368,0.013885
3.0653,0.50272,-1.5254,1.2295,0.25849,0.86817,1.541,0.050437,0.062961,0.23873,0.015622
1.3659,0.33189,1.0292,0.57409,-0.74142,3.6174,1.7444,0.23538,0.23775,0.23775,0.015859
1.3295,-1.0276,2.9556,-1.4989,-1.9039,0.0059555,1.0374,0.14658,0.077214,0.081432,0.019896
-2.1171,0.9907,-2.0828,0.39471,-0.098635,3.8001,1.5287,0.033398,0.24482,0.39388,0.0096969
1.7403,-1.0513,2.2581,0.91772,-0.13137,2.1423,0.45239,0.085011,0.47645,0.49125,0.011387
2.8883,-1.1149,1.5236,1.5154,0.51967,1.6375,0.35823,0.62421,0.1933,0.49458,0.0088131
0.38637,-1.285,-1.3338,1.0726,-0.099184,1.6605,0.36492,0.65244,0.23224,0.24453,0.010767
-2.4995,0.4543,2.6959,3.035,1.9997,0.0096867,1.2435,0.15535,0.51661,0.739,0.010684
-0.43746,1.2357,2.97,3.6422,0.13088,1.8417,1.2715,0.60437,0.64825,0.64825,0.0083954
-1.2059,0.12792,-0.36181,0.33767,0.67769,1.2459,1.2748,0.052964,0.59889,0.59889,0.009293
-1.0307,1.3177,-2.7407,-0.79025,-1.318,2.1807,1.161,0.011663,0.1945,0.32298,0.0053546
-1.6526,-1.1533,-2.9651,-0.57843,-0.61566,1.0934,1.4399,0.10128,0.059132,0.22606,0.016071
-2.3468,0.14299,0.96361,-1.2298,-1.523,0.73187,1.1775,0.61867,0.20591,0.45235,0.005562
1.162,-1.2979,-2.6335,0.63384,0.97468,1.4106,0.19739,0.10727,0.37602,0.36292,0.013583
2.9607,-0.15724,2.6129,0.66744,0.8466,0.54508,0.26105,0.052032,0.16825,0.49815,0.012
-0.31168,-0.45379,1.1476,-0.40742,3.2646,1.6233,1.4994,0.056533,0.28889,0.37428,0.019414
-2.0658,-0.23596,0.32145,-0.57226,0.96555,-1.6421,0.80708,0.079239,0.10698,0.26681,0.018856
-0.41383,-1.0695,-0.47754,0.62305,1.6615,2.0323,0.63763,0.056719,0.38042,0.38852,0.0094397
