Alpha,W,Dh,L,L/D,Pe,Nu
0.1428,7,1.75,180,102.8571429,3.90667,2.51
0.1428,7,1.75,180,102.8571429,5.2089,2.538
0.1428,7,1.75,180,102.8571429,7.16223,2.5837
0.1428,7,1.75,180,102.8571429,9.11557,2.6245
0.1428,7,1.75,180,102.8571429,11.0689,2.6605
0.1428,7,1.75,180,102.8571429,52.089,3.3195
0.1428,7,1.75,180,102.8571429,104.178,3.6531
0.1428,7,1.75,180,102.8571429,130.222,3.8262
0.25,5,2,150,75,3.90667,2.7027
0.25,5,2,150,75,5.2089,2.734
0.25,5,2,150,75,7.16223,2.7811
0.25,5,2,150,75,9.11557,2.822
0.25,5,2,150,75,11.0689,2.8578
0.25,5,2,150,75,45.5779,3.4412
0.25,5,2,150,75,78.1335,3.6285
0.25,5,2,150,75,104.178,3.7547
0.25,4,1.6,120,75,3.90667,2.6977
0.25,4,1.6,120,75,5.2089,2.7313
0.25,4,1.6,120,75,7.16223,2.7774
0.25,4,1.6,120,75,9.11557,2.8303
0.25,4,1.6,120,75,11.0689,2.8546
0.25,4,1.6,120,75,45.5779,3.4201
0.25,4,1.6,120,75,65.1112,3.5284
0.25,4,1.6,120,75,91.1557,3.6842
0.25,4,1.6,120,75,117.2,3.7726
0.25,2.5,1,100,100,3.90667,2.6598
0.25,2.5,1,100,100,5.2089,2.6728
0.25,2.5,1,100,100,7.16223,2.7274
0.25,2.5,1,100,100,9.11557,2.7419
0.25,2.5,1,100,100,11.0689,2.7632
0.25,2.5,1,100,100,32.5556,3.2203
0.25,2.5,1,100,100,42.3223,3.2695
0.25,2.5,1,100,100,52.089,3.3555
0.25,2.5,1,100,100,65.1112,3.4334
0.5,3.5,2.33,150,64.3776824,3.90667,2.75
0.5,3.5,2.33,150,64.3776824,6.51112,2.7862
0.5,3.5,2.33,150,64.3776824,8.46446,2.8174
0.5,3.5,2.33,150,64.3776824,11.0689,2.8529
0.5,3.5,2.33,150,64.3776824,91.1557,3.5614
0.5,3.5,2.33,150,64.3776824,123.711,3.721
0.5,3.5,2.33,150,64.3776824,162.778,3.85
0.5,3,2,150,75,3.90667,2.6979
0.5,3,2,150,75,5.86001,2.7355
0.5,3,2,150,75,7.81335,2.7698
0.5,3,2,150,75,10.4178,2.8188
0.5,3,2,150,75,45.5779,3.3884
0.5,3,2,150,75,71.6223,3.5428
0.5,3,2,150,75,97.6668,3.6681
0.5,3,2,150,75,130.222,3.8194
0.5,1.5,1,150,150,3.90667,2.5969
0.5,1.5,1,150,150,5.86001,2.6102
0.5,1.5,1,150,150,7.16223,2.6218
0.5,1.5,1,150,150,8.46446,2.6311
0.5,1.5,1,150,150,11.0689,2.6553
0.5,1.5,1,150,150,35.8112,3.1742
0.5,1.5,1,150,150,52.089,3.2655
0.5,1.5,1,150,150,71.6223,3.3513
0.5,1.5,1,150,150,84.6446,3.3983
0.5,2,1.33,150,112.7819549,3.25556,2.7091
0.5,2,1.33,150,112.7819549,4.55779,2.7278
0.5,2,1.33,150,112.7819549,5.86001,2.7432
0.5,2,1.33,150,112.7819549,7.16223,2.7608
0.5,2,1.33,150,112.7819549,10.4178,2.7992
0.5,2,1.33,150,112.7819549,39.0667,3.3053
0.5,2,1.33,150,112.7819549,58.6001,3.4099
0.5,2,1.33,150,112.7819549,81.389,3.5093
0.5,2,1.33,150,112.7819549,97.6668,3.5759
1,2,2,200,100,3.90667,2.1986
1,2,2,200,100,5.2089,2.2085
1,2,2,200,100,6.51112,2.2299
1,2,2,200,100,8.1389,2.2521
1,2,2,200,100,9.76668,2.2746
1,2,2,200,100,11.3945,2.2923
1,2,2,200,100,12.3711,2.3021
1,2,2,200,100,26.0445,2.6381
1,2,2,200,100,35.8112,2.7053
1,2,2,200,100,45.5779,2.7611
1,2,2,200,100,55.3445,2.8099
1,2,2,200,100,65.1112,2.8561
0.65,2,1.57,200,127.388535,3.90667,2.5255
0.65,2,1.57,200,127.388535,5.2089,2.5423
0.65,2,1.57,200,127.388535,8.1389,2.5737
0.65,2,1.57,200,127.388535,9.76668,2.5892
0.65,2,1.57,200,127.388535,52.089,3.1899
0.65,2,1.57,200,127.388535,65.1112,3.2484
0.65,2,1.57,200,127.388535,78.1335,3.3031
0.65,2,1.57,200,127.388535,91.1557,3.3522
